digit,fill_rate,inv_clusters,enclosed_ratio,h_sym,v_sym,di1,di2,a0,d0,a1,d1,a2,d2,a3,d3,a4,d4,a5,d5,a6,d6,a7,d7,a8,d8,a9,d9,a10,d10,a11,d11,a12,d12,a13,d13,a14,d14,a15,d15,a16,d16,a17,d17,a18,d18,a19,d19,a20,d20,a21,d21,a22,d22,a23,d23,a24,d24
1,0.26720647773279355,1,2.9068825910931175,1.2580645161290323,1.0,3.0,0.8787878787878788,0,0,0,0,0,0,-2.1587989303424644,-2.23606797749979,0,0,0,0,-2.5535900500422257,-1.6770509831248424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.8925468811915387,2.7950849718747373,0,0,0,0,0,0,0,0
0,0.5510835913312694,2,1.8761609907120742,1.0222222222222221,1.0,1.0227272727272727,0.9787234042553191,-2.0169018757383004,-4.6625397434771685,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.2281854315191483,-9.68813707582629,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0344439357957027,7.220661962983278,0,0,0,0,0,0
1,1.0350877192982457,1,12.719298245614034,0.6578947368421053,0.8,0.5,1.2,0,0,0,0,0,0,0,0,0,0,0,0,1.5707963267948966,3.1622776601683795,0,0,0,0,0,0,0,0,1.5707963267948966,3.1622776601683795,0,0,0,0,0,0,-1.6475682180646747,-3.5003571246374277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0.22807017543859648,1,2.5228070175438595,0.8157894736842105,0.725,0.64,0.8666666666666667,2.5535900500422257,-2.576941016011038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.7367008673047097,5.575865652773368,0,0,1.457645345204412,6.149186938124422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.5872576177285319,2,1.5844875346260388,1.1386138613861385,1.0186915887850467,1.163265306122449,0.896551724137931,0,0,-1.9437840485949576,-11.761067301977004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9890206563741257,5.0,0,0,0,0,0,0,-1.9107266962645171,7.4344451747719065,0,0,0,0,0,0,0,0,0,0
0,0.47368421052631576,2,3.277511961722488,1.0196078431372548,1.06,1.0909090909090908,1.0357142857142858,0,0,-1.6973884540748687,-4.795432563323956,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.677945044588987,3.591986478803243,1.9513027039072615,4.003856165939388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0.3117408906882591,1,2.8623481781376516,0.42105263157894735,2.6818181818181817,1.0952380952380953,36.0,-1.4909663410826592,-3.5355339059327378,-1.3078015951139772,-7.267220926874317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.9584818363273095,-0.8700255424092153,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0.33746130030959753,1,2.0897832817337463,0.7384615384615385,1.5681818181818181,1.1538461538461537,2.1666666666666665,0,0,0,0,2.5378433201923571,-20.039024427351748,0,0,1.2937920038528699,-9.503288904374106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.8631435929875337,10.791216407917137,0,0,0,0,0,0,0,0
5,0.43508771929824563,1,2.3157894736842106,1.2857142857142858,1.6122448979591837,2.0454545454545454,1.2592592592592593,0,0,0,0,2.3228734943140976,-15.553726330940046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.6704649792860586,5.231380978171589,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.3239476077570913,2.7900698550248464,0,0,0,0,0,0
3,0.4807017543859649,1,2.270175438596491,0.6588235294117647,1.1044776119402986,0.717948717948718,1.6428571428571428,0,0,2.4980915447965084,-15.051993223490369,0,0,0,0,0,0,0,0,1.4963075365810148,17.024608465055216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.459276098715045,6.589659407823068,0,0,0,0,0,0
8,0.5510835913312694,4,1.8761609907120742,1.275,1.4594594594594594,2.5555555555555554,1.1071428571428572,-1.6850506547563362,-8.113485165385196,0,0,-1.4464413322481351,-5.5901699437494745,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.781889660017643,-6.15136885928451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0.4534412955465587,2,2.720647773279352,1.5777777777777777,1.9743589743589745,9.0,1.1714285714285715,0,0,0,0,-2.2206667762068442,-12.562344526401109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.7539071440573806,9.328708023538407,0,0,0,0,0,0,-1.9513027039072615,3.5377429245212273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
