n,digit,c0sd,c0sd2,c1sd,c1sd2,c2sd,c2sd2
0,1,0.04000000000000002,0.21537812500000003,-0.20181405895691712,0.8411984171975696,-0.21180555555555555,1.4259500385802464
1,0,9.574263038548747,744.5530168676496,-1.5394387755102037,30.360721238546446,-0.4527391975308634,5.114419568222728
2,1,0.5347222222222222,4.955632716049382,-0.006944444444444484,9.153163580246915,-1.3,13.576712500000001
3,4,1.7259183673469387,19.719329529362764,0.5185185185185185,21.773662551440328,-0.47265625,2.72784423828125
4,0,-80.25255102040819,55353.381504451296,2.6543367346938775,61.05986926020408,1.9821098372781067,34.1265453663048
5,0,0.9432870370370368,7.126636571990258,-0.7586111111111117,10.193798148148161,-0.6880668934240359,10.555035642138556
6,7,-0.3144444444444459,2.8537310185185265,-3.2578125,109.609375,-1.23,10.295
7,3,-19.947265625,5552.405961990356,-3.2152777777777777,178.12717013888889,5.126171875,402.61791137695326
8,5,1.2444387755102053,25.522735394106647,-16.939236111111104,3311.8415889033568,0.32959183673469333,1.627922740524778
9,3,-2.3347107438016463,393.6314459394847,2.0642361111111116,161.506980613426,91.89583333333336,94879.75197120951
10,8,-0.1729752066115689,58.68471745099378,-0.69140625,63.153076171875,-2.239411157024793,236.53252428032798
11,9,3.081037649219476,275.1404662494386,0.8523437500000014,5.72224587402345,-7.587499999999994,1082.739568749999
12,1,-1.94,39.0416,-2.958333333333333,85.65885416666666,0.1736111111111111,4.151475694444445
13,3,-2.685956790123455,84.52141144166285,0.8649922520661155,27.139553041147423,12.223958333333336,1478.6104480131173
14,3,-4.127711776859503,121.01604726439767,6.572265625,628.4988021850586,-9.876736111111118,981.5571952160499
15,1,0.009999999999999567,0.07878765432098772,-0.20833333333333334,0.9157986111111112,0.09027777777777776,0.25655864197530864
16,2,-1.463779726766741,20.499384658499398,-4.21198347107438,144.76961618741888,-0.8981481481481433,16.406893004115176
17,0,-1.1349206349206353,16.459993199849876,0.3866697275788189,2.269461736313065,-7.352623456790121,277.630769994451
18,7,0.3037499999999999,1.3924531249999998,-0.25520833333333326,1.0949691960841046,0.09765625,0.186767578125
19,5,12.040249433106597,1678.0492499106615,-2.774305555555558,940.4528959297844,3.6358024691358026,81.97222222222223
20,8,-2.1672727272727283,51.98654438904449,0.1179012345679009,1.7743165675964032,2.810304752066115,71.88397644097162
21,6,2.1203703703703694,163.09070644718798,0.02443877551020395,0.03921522282382327,2.979999999999999,83.52090624999998
22,2,0.3975694444444444,1.8676998939043215,-4.345833333333335,603.5765898919751,-0.7591666666666663,6.797016280864198
23,0,2.9479166666666665,66.20225694444444,-8.560090702947846,1089.7434734948401,1.9388020833333335,35.15053831500771
24,2,-0.08138888888888812,5.552263194444443,0.07031249999999997,1.9255340952932096,0.8876664201183435,14.149683573713395
25,3,-2.05814639905549,41.95799687358486,0.14933593750000002,1.2661752120971688,-1.1284722222222223,23.618489583333332
